year,date_,averageT,minT,averageP,SWE,Rhum,model_id,scenario_id,point_id,x,y
1983,1/31/83 0:00,4.091307958,-3.811766624,103.4291687,438.2250977,51.02205,ccsm3,b1,3,-119.5676,37.8217
1984,1/31/84 0:00,3.690408071,-4.663741748,125.4645793,293.9993896,49.72943333,ccsm3,b1,3,-119.5676,37.8217
1985,1/31/85 0:00,4.578816414,-3.145224889,91.66666667,209.8894246,48.63039167,ccsm3,b1,3,-119.5676,37.8217
1986,1/31/86 0:00,4.027683258,-4.013366699,61.25,133.6870728,46.434925,ccsm3,b1,3,-119.5676,37.8217
1987,1/31/87 0:00,5.055416425,-2.826816559,91.4041748,74.48412069,48.87988333,ccsm3,b1,3,-119.5676,37.8217
1988,1/31/88 0:00,4.54401652,-3.413383484,94.48749797,287.2415771,50.10800833,ccsm3,b1,3,-119.5676,37.8217
1989,1/31/89 0:00,4.631333351,-2.856983821,115.3520915,206.4831746,51.93634167,ccsm3,b1,3,-119.5676,37.8217
1990,1/31/90 0:00,4.32875824,-3.156483332,153.1750081,627.1554769,56.20175,ccsm3,b1,3,-119.5676,37.8217
1991,1/31/91 0:00,4.631358465,-2.571916739,73.11875916,155.6255493,52.23425,ccsm3,b1,3,-119.5676,37.8217
1992,1/31/92 0:00,4.143416723,-3.444241842,128.3312581,202.4462077,50.91161667,ccsm3,b1,3,-119.5676,37.8217
1993,1/31/93 0:00,3.93614165,-4.273174922,172.9791667,614.5786133,49.56478333,ccsm3,b1,3,-119.5676,37.8217
1994,1/31/94 0:00,4.864433289,-2.490641594,168.2770996,725.2060547,55.43848333,ccsm3,b1,3,-119.5676,37.8217
1995,1/31/95 0:00,5.64779981,-2.438699881,106.9083354,307.556193,50.823375,ccsm3,b1,3,-119.5676,37.8217
1996,1/31/96 0:00,4.723508199,-3.089275042,105.8145955,200.0673014,48.8965,ccsm3,b1,3,-119.5676,37.8217
1997,1/31/97 0:00,5.234158834,-2.392274698,132.8958232,296.2058105,51.98380833,ccsm3,b1,3,-119.5676,37.8217
1998,1/31/98 0:00,4.660867055,-3.21699969,117.5562439,137.3006083,52.43309167,ccsm3,b1,3,-119.5676,37.8217
1999,1/31/99 0:00,4.579999924,-3.075058619,126.7645874,334.9510091,53.75475833,ccsm3,b1,3,-119.5676,37.8217
2000,1/31/00 0:00,3.834758441,-3.769999822,127.2520854,312.4245605,55.416825,ccsm3,b1,3,-119.5676,37.8217
2001,1/31/01 0:00,5.307332993,-2.378216426,163.3103841,603.3152262,48.08514167,ccsm3,b1,3,-119.5676,37.8217
2002,1/31/02 0:00,4.867799759,-3.167666435,135.127065,359.0733236,53.60621667,ccsm3,b1,3,-119.5676,37.8217
2003,1/31/03 0:00,4.887308121,-2.415199916,143.3979085,267.3646851,50.405625,ccsm3,b1,3,-119.5676,37.8217
2004,1/31/04 0:00,5.478174845,-2.458183289,58.53541565,196.3876546,44.58635,ccsm3,b1,3,-119.5676,37.8217
2005,1/31/05 0:00,6.229024887,-1.947924932,52.39791361,50.83187358,45.55414167,ccsm3,b1,3,-119.5676,37.8217
2006,1/31/06 0:00,4.953982989,-2.740608215,89.58956909,191.6632894,47.749425,ccsm3,b1,3,-119.5676,37.8217
