GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:99846,Tamias speciosus frater,collector number=474,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,male,H
MVZ:Mamm:23389,Tamias speciosus frater,collector number=7363,2414,United States,California,2926.08,"Cloud's Rest, Yosemite National Park",25-Aug-15,skull; study skin,37.767939,-119.488261,female,H
MVZ:Mamm:22752,Tamias speciosus frater,collector number=494,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",8-Jul-15,skull; study skin; DNA,37.87941,-119.39498,female,H
MVZ:Mamm:22737,Tamias speciosus frater,collector number=2121,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",1-Jul-15,skull; study skin; DNA; skeleton,37.80526,-119.55632,female,H
MVZ:Mamm:23394,Tamias speciosus frater,collector number=3503,146,United States,California,2834.64,"McClure Fork of Merced River [=Lewis Creek], Yosemite National Park",26-Aug-15,skull; study skin; DNA,37.75727,-119.35178,female,H
MVZ:Mamm:22726,Tamias speciosus frater,collector number=2084,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",26-Jun-15,skull; study skin; skeleton,37.80526,-119.55632,female,H
MVZ:Mamm:22731,Tamias speciosus frater,collector number=3406,1609,United States,California,2560.32,"Tioga Rd. near Mt. Hoffman, Yosemite National Park",28-Jun-15,skull; DNA; study skin,37.814605,-119.499805,female,H
MVZ:Mamm:99847,Tamias speciosus frater,collector number=476,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
MVZ:Mamm:22749,Tamias speciosus frater,collector number=484,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA; skeleton,37.8794,-119.39498,male,H
MVZ:Mamm:22757,Tamias speciosus frater,collector number=2181,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",12-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:99845,Tamias speciosus frater,collector number=472,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,male,H
MVZ:Mamm:23417,Tamias speciosus frater,collector number=7728,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",14-Oct-15,skull; study skin,37.827725,-119.771211,female,H
MVZ:Mamm:24181,Tamias speciosus frater,collector number=2085,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",26-Jun-15,skull; skeleton,37.80526,-119.55632,female,H
MVZ:Mamm:23391,Tamias speciosus frater,collector number=7370,855,United States,California,2286,"Echo Creek Basin, Yosemite National Park",25-Aug-15,skull; study skin,37.74407,-119.43223,male,H
MVZ:Mamm:23426,Tamias speciosus frater,collector number=7779,570,United States,California,1767.84,"Gentry's, Big Oak Flat Rd., Yosemite National Park",23-Oct-15,skull; study skin,37.7352363,-119.7034868,female,H
MVZ:Mamm:23406,Tamias speciosus frater,collector number=7663,30,United States,California,1950.72,"Tuolumne River, Yosemite National Park",1-Oct-15,skull; study skin,37.928858,-119.461163,female,H
